SKU,Descripción,Precio
009NC,Bolsa camiseta Poliseda lisa Chica 25x40 cm CAJA 25 KG. PS*10,0
009NCP,Bolsa camiseta Poliseda lisa Chica 25x40 cm PQTE 1 KG. PS*10,0
007NC,Bolsa camiseta Poliseda lisa Grande 30x60 cm CAJA 25 KG. PS*10,0
007NCP,Bolsa camiseta Poliseda lisa Grande 30x60 cm PQTE 1 KG. PS*10,0
008NC,Bolsa camiseta Poliseda lisa Mediana 25X50 cm CAJA 25 KG. PS*10,0
008NCP,Bolsa camiseta Poliseda lisa Mediana 25x50 cm PQTE 1 KG. PS*10,0
010NC,Bolsa de Poliseda lisa 15x25 cm ROLLO 1 KG. PS*10,0
011NC,Bolsa de rollo Poliseda lisa 18x26 cm ROLLO 1 KG. PS*10,0
012NC,Bolsa de rollo Poliseda lisa 20x30 cm ROLLO 1 KG. PS*10,0
013NC,Bolsa de rollo Poliseda lisa 25x40 cm ROLLO 1 KG. PS*10,0
014NC,Bolsa de rollo Poliseda lisa 30x40 cm ROLLO 1 KG. PS*10,0
015NC,Bolsa de rollo Poliseda lisa 35x45 cm ROLLO 1 KG. PS*10,0
016NC,Bolsa de rollo Poliseda lisa 40x60 cm ROLLO 1 KG. PS*10,0
001NC,"Contenedor 3 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",0
001NCP,Contenedor 3 oz térmico blanco papel (Convencional no compostable) PQTE 50 pzas. NC P*11,0
002NC,"Contenedor 4 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",0
002NCP,Contenedor 4 oz térmico blanco papel (Convencional no compostable) PQTE 50 pzas. NC P*11,0
003NC,"Contenedor 5 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",0
003NCP,Contenedor 5 oz térmico blanco papel (Convencional no compostable) PQTE 50 Pzas. NC P*11,0
004NC,"Contenedor 6 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",0
004NCP,Contenedor 6 oz térmico blanco papel (Convencional no compostable) PQTE 50 Pzas. NC P*11,0
017NC,Tapa contenedor 16/24 oz transparente Paja Trigo (Convencional no compostable) CAJA 250 Pzas. NC*1,0
019NC,Tapa contenedor 26/35 oz transparente Bambú (Convencional no compostable) CAJA 300 Pzas. NC*2,0
019NCP,Tapa contenedor 26/35 oz transparente Bambú (Convencional no compostable) PQTE 50 Pzas. NC*2,0
018NC,Tapa contenedor 32/48 oz transparente Paja Trigo (Convencional no compostable) CAJA 250 Pzas. NC*1,0
020NC,Tapa contenedor 46 oz transparente Bambú (Convencional no compostable) CAJA 300 Pzas. NC*2,0
006PTRIGOP,"Almeja 7x5 ""beige liso Paja Trigo PQTE 50 Pzas. PT*3",0
006PTRIGO,"Almeja 7x5"" beige liso Paja Trigo CAJA 500 Pzas. PT*3",0
003PTRIGO,"Almeja 8x8"" beige c/ 3 div Paja Trigo CAJA 200 Pzas. PT*3",0
003PTRIGOP,"Almeja 8x8"" beige c/ 3 div Paja Trigo PQTE 50 Pzas. PT*3",0
002PTRIGO,"Almeja 8x8"" beige liso Paja Trigo CAJA 200 Pzas. PT*3",0
002PTRIGOP,"Almeja 8x8"" beige liso Paja Trigo PQTE 50 Pzas. PT*3",0
008PTRIGO,"Almeja 9x6"" beige c/2 div Paja Trigo CAJA 200 Pzas. PT*3",0
008PTRIGOP,"Almeja 9x6"" beige c/2 div Paja Trigo PQTE 50 Pzas. PT*1",0
007PTRIGO,"Almeja 9x6"" beige liso Paja Trigo CAJA 250 Pzas. PT*3",0
007PTRIGOP,"Almeja 9x6"" beige liso Paja Trigo PQTE 50 Pzas. PT*1",0
005PTRIGO,"Almeja 9x9"" beige c/3 div Paja Trigo CAJA 250 Pzas. PT*3",0
